. use stations, clear

. list station_id, sep(0)

     +----------------------+
     |           station_id |
     |----------------------|
  1. |           1. Alewife |
  2. |         2. Brookline |
  3. |         8. Carmenton |
  4. |         11. Dogville |
  5. |         18. East End |
  6. |       24. Framington |
  7. |   26. Grand Junction |
  8. |       30. High Point |
  9. |       36. Irvingtown |
 10. |       39. Johnsville |
 11. |      40. King Street |
 12. |         44. Limerick |
 13. |      47. Moscow City |
 14. |     49. Ninth Street |
 15. |     50. Ontario Lake |
 16. | 53. Picadilly Square |
 17. |       55. Queens Zoo |
 18. |   60. Redline Circle |
 19. |    62. Silver Spring |
 20. |      68. Toledo Town |
 21. |    69. Union Station |
     +----------------------+
